관리기관명,소재지지번주소,설치년월,보관일수,카메라대수,경도,소재지도로명주소,위도,설치목적구분,촬영방면정보,데이터기준일자,카메라화소수,관리기관전화번호
경기도 성남시청,경기도 성남시 분당구 야탑3동 197-2(버스정류장),2017-09,,5,127.142901,,37.408131,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑동 159-8,2017-12,,4,127.155231,,37.405361,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 126번지 분당정보고등학교 후문,2010-09,,2,127.1111561,"경기도 성남시 분당구 미금로 246, 후문(금곡동, 청솔마을주공6단지)",37.3541183,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 135번지 청솔초등학교 후문 보행자통로,2010-09,,5,127.113201,"경기도 성남시 분당구 금곡로 243, 청솔초등학교  (금곡동)",37.353881,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 104번지 낙생농협 앞,2010-09,,2,127.1000821,,37.3627979,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 131번지 청솔초등학교 정문,2012-05,,3,127.1141706,"경기도 성남시 분당구 금곡로 243, 청솔초등학교  정문(금곡동)",37.3540659,어린이보호,,2018-04-01,130,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 175번지 야생화어린이공원,2013-10,,4,127.1066271,,37.3515843,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 궁내동 285-1번지 궁백교회 뒤,2013-10,,3,127.1010456,"경기도 성남시 분당구 궁내로22번길 32, 궁백교회  뒤(궁내동)",37.3713794,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 66-5,2014-12,,1,127.0967848,,37.3633033,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 141번지(즐거운유치원),2014-11,,1,127.1130175,"경기도 성남시 분당구 미금로 215, (금곡동, 청솔마을대원8단지)",37.351218,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 46-6 금곡동어린이놀이터,2014-11,,4,127.0973343,"경기도 성남시 분당구 쇳골로 35-1, 금곡동어린이놀이터  (금곡동)",37.3627217,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 궁내동 184-12 경부고속도로 횡단 지하통로(정자로 방면),2011-12,,2,127.103539,경기도 성남시 분당구 경부고속도로,37.363711,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 127-1 금곡지하보도(주공 607동앞),2015-10,,2,127.109162,,37.354204,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 궁내동 247번지 앞,2010-09,,2,127.1007322,,37.3701467,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 궁내동 353번지 궁내동어린이놀이터,2011-12,,3,127.097633,"경기도 성남시 분당구 궁내로40번길 11, 궁내동어린이놀이터  (궁내동)",37.3705898,어린이보호,,2018-04-01,130,031-729-2482
경기도 성남시청,경기도 성남시 분당구 궁내동 245번지,2016-09,,4,127.101421,,37.370331,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 135번지 앞구미어린이공원 내부,2016-11,,1,127.113231,,37.353661,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 금곡동 365-10번지(궁내동 버스정류장),2017-12,,4,127.094011,,37.370381,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 108번지 하얀마을5단지 하얀어린이공원 앞 보행자통로,2010-09,,2,127.118431,"경기도 성남시 분당구 미금일로 21, (구미동, 하얀마을주공5단지)",37.344691,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 143-3번지 수평어린이공원(분당65호) 주변,2010-09,,2,127.1107418,"경기도 성남시 분당구 미금일로79번길 6, 수평어린이공원분당 65호 주변(구미동)",37.345338,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 114번지 오리어린이공원(분당64호),2011-12,,3,127.1141408,,37.3445618,어린이보호,,2018-04-01,130,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 206번지 구미어린이공원(분당67호),2012-10,,5,127.1172977,,37.3374543,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 193-1번지 오리공원,2013-10,,4,127.1119359,,37.3412925,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 281번지 골안어린이공원,2013-10,,4,127.1246201,,37.3431024,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 230번지 무지개어린이공원,2013-10,,4,127.1227763,,37.3397938,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 239번지 넘말어린이공원,2013-10,,4,127.1247868,,37.3404815,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 252번지 큰골어린이공원,2013-10,,4,127.1260824,,37.3402035,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 241번지 불곡초등학교 주변,2013-10,,3,127.1191788,"경기도 성남시 분당구 무지개로 129, 불곡초등학교  주변(구미동)",37.3408553,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 295 대광사 정문 앞 코너부분,2013-10,,3,127.1272955,"경기도 성남시 분당구 구미로185번길 30, 대광사정문앞코너부분  (구미동)",37.346413,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 187-9 노블빌리지 105동,2013-10,,3,127.1112736,"경기도 성남시 분당구 탄천상로 89, 노블빌리지 105동  (구미동)",37.3395099,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 209번지 진고개공원,2014-03,,2,127.1153297,,37.3346918,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 196번지(오리역 2번출구 부근 광장),2014-12,,1,127.1094274,,37.3397455,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 238번지(성모유치원),2014-11,,4,127.1243484,"경기도 성남시 분당구 구미로130번길 20, 성모유치원  (구미동)",37.3401373,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 108번지 하얀어린이공원 내부,2016-11,,1,127.117941,,37.345011,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미동 138번지 수평어린이공원 내부,2016-11,,1,127.111001,"경기도 성남시 분당구 금곡로23번길 15-5, 수평어린이공원내부  (구미동)",37.344651,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 야탑2동 529번지 무잡모퉁이어린이공원(분당13호) 하탑초등학교 주변,2010-04,,2,127.1270171,,37.4073396,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 87번지 샘터어린이공원,2013-10,,4,127.118613,,37.3488017,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 까치마을 건영빌라 508동 601동 사이 보행자도로,2013-10,,3,127.111763,"경기도 성남시 분당구 미금일로 136, 508동 601호 동 사이(구미동, 까치마을건영5단지)",37.349365,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 동원동 110-4 동원1동어린이놀이터,2014-03,,1,127.098721,"경기도 성남시 분당구 동원북로 26, 동원 1동  어린이놀이터(동원동)",37.3461579,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 동원동 222번지,2014-06,,4,127.0798242,"경기도 성남시 분당구 동막로245번길 97, (동원동)",37.3590146,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 58-3번지,2014-12,,1,127.1011217,"경기도 성남시 분당구 미금일로80번길 5, (구미동)",37.3460774,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 68번지(미금초등학교),2014-11,,5,127.1153504,"경기도 성남시 분당구 미금로 151, 미금초등학교  (구미동)",37.3470948,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 93번지,2015-11,,3,127.1246814,,37.3766914,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 32번지 뒷구미어린이공원(분당59호),2012-12,,4,127.1112807,,37.3489828,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 71 구미지하보도(구미119 옆),2015-10,,2,127.1111542,"경기도 성남시 분당구 돌마로 138, 보도구미 지하층 119호 구미 옆(구미동)",37.3449596,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 67번지 미금초등학교 후문(벌말공원),2010-09,,2,127.1152983,경기도 성남시 분당구 미금로 151,37.3481256,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 54-6번지 24시카센타 앞 사거리,2010-09,,2,127.1100702,"경기도 성남시 분당구 미금일로90번길 2, 시카센터 24호 (구미동)",37.3461172,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 96-5번지,2017-12,,4,127.110351,"경기도 성남시 분당구 동원북로 33, (동원동)",37.345891,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 구미1동 73번지 까치마을어린이공원,2013-10,,3,127.118161,,37.3510827,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 판교동 615-7번지 F6-1블럭 주택지역 내 24시간 편의점 옆,2011-06,,1,127.0896065,,37.3912181,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 판교동 614-11번지 F6-1블럭 주택지역 내 판교 도서관 맞은편,2011-06,,1,127.0904382,,37.3913697,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 판교동 612번지 F7-1블럭 주택지역 내 판교 도서관 맞은편,2011-06,,1,127.0910088,,37.3912518,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 판교동 618-11번지 F6-1블럭 주택지역 내 음식점(리강) 옆,2011-06,,1,127.0893203,,37.3905322,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현1동 78-4번지 솔밭어린이공원,2013-10,,3,127.1305004,"경기도 성남시 분당구 새마을로1번길 3, 솔밭어린이공원  (서현동)",37.3844871,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현1동 92-1번지 분당초등학교 주변,2013-10,,3,127.1298147,"경기도 성남시 분당구 중앙공원로32번길 20, 분당초등학교  주변(서현동)",37.3786276,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현1동 87-1번지 서현초등학교 주변,2013-10,,3,127.1284802,"경기도 성남시 분당구 중앙공원로39번길 12, 서현초등학교  주변(서현동)",37.3824537,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현1동 85-4번지,2013-10,,3,127.1282472,"경기도 성남시 분당구 서현로237번길 7, (서현동)",37.3858623,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현1동 80-4번지,2013-10,,3,127.1296425,"경기도 성남시 분당구 서현로255번길 7, (서현동)",37.3848259,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 율동 323-15 율동어린이놀이터,2014-03,,1,127.1521413,,37.3822533,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현1동 188-18번지,2014-12,,1,127.1362579,"경기도 성남시 분당구 안골로 42, (서현동)",37.3855916,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 율동 318 율동공원,2014-11,,4,127.1509352,"경기도 성남시 분당구 문정로 145, 율동공원  (율동)",37.3820866,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현1동 89-4번지(중앙유치원),2014-11,,1,127.1260124,"경기도 성남시 분당구 중앙공원로31번길 32, 중앙유치원  (서현동)",37.3824028,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현1동 240-39번지 맞은편,2016-09,,5,127.134051,,37.382561,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현1동 245-1번지,2017-12,,4,127.126451,"경기도 성남시 분당구 서현로 216, (서현동)",37.386251,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 317-9번지 양영어린이공원(분당35호) 양영초등학교 주변,2010-04,,3,127.134598,"경기도 성남시 분당구 불정로406번길 17, 양영초등학교 35호 양영어린이공원 분당 주변(서현동)",37.376033,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 338-1번지 부근,2010-04,,2,127.1412941,"경기도 성남시 분당구 불정로 432, 부근  (서현동)",37.3773426,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 309번지 미래어린이공원(분당37호),2010-04,,3,127.1360062,,37.3710712,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 340-19번지,2012-10,,4,127.1413777,"경기도 성남시 분당구 서현로393번길 8, (서현동)",37.3758825,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 319번지 양영초등학교 주변,2013-10,,4,127.1396401,"경기도 성남시 분당구 불정로406번길 17, 양영초등학교  주변(서현동)",37.3746985,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 329-1번지 앞,2013-10,,3,127.1387889,"경기도 성남시 분당구 서현로357번길 8, (서현동)",37.3782103,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 336-5번지 앞,2013-10,,3,127.1410802,"경기도 성남시 분당구 불정로426번길 5, (서현동)",37.3766601,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 340-5번지 앞,2013-10,,3,127.1417294,"경기도 성남시 분당구 불정로420번길 19, (서현동)",37.3754788,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 330-7번지,2014-12,,1,127.1401183,"경기도 성남시 분당구 서현로371번길 13, (서현동)",37.3777576,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현동 314-1 수련어린이공원,2014-11,,3,127.1405197,,37.3724769,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 346-11번지,2015-11,,3,127.1246814,,37.3766914,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 343-2 삼거리,2017-09,,5,127.137291,경기도 성남시 분당구 삼거리,37.378761,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 서현2동 340-11,2017-12,,3,127.142571,"경기도 성남시 분당구 서현로411번길 7, (서현동)",37.375281,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 338-1번지 베스티아 부근,2010-04,,2,127.1372605,,37.3907334,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 301-7번지 갈보리교회(갈보리어린이집),2010-04,,3,127.1339472,,37.391276,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 65번지 부근,2010-04,,3,127.1319332,,37.3976095,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 293-4번지 포스파크 부근,2010-04,,5,127.134232,"경기도 성남시 분당구 이매로123번길 12, 부근(이매동, 이매포스파크)",37.3917449,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 128-7번지 돌마공원 화장실 주변,2011-12,,2,127.1279294,,37.3869211,어린이보호,,2018-04-01,130,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 118번지 안말초등학교 정문,2012-05,,2,127.1255436,"경기도 성남시 분당구 양현로 104, 안말초등학교  정문(이매동)",37.3928805,어린이보호,,2018-04-01,130,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 112번지 이매초등학교 정문,2012-05,,2,127.1260563,"경기도 성남시 분당구 양현로 146, 이매초등학교  정문(이매동)",37.3967556,어린이보호,,2018-04-01,130,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 114번지 방아다리어린이공원(분당23호),2012-10,,4,127.1257899,,37.3977294,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 81-8번지 (샛별선교원앞 삼거리),2013-10,,3,127.1335239,"경기도 성남시 분당구 방아로 42, (이매동)",37.3985685,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 262-2번지(동명유치원),2014-11,,4,127.1300553,"경기도 성남시 분당구 이매로 88, 동명유치원  (이매동)",37.3933092,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 100번지(꾸러기유치원),2014-11,,5,127.1267487,"경기도 성남시 분당구 양현로 220, (이매동, 이매촌삼성10단지)",37.402897,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 357-18번지,2015-02,,4,127.1317053,"경기도 성남시 분당구 이매로124번길 15, (이매동)",37.3911145,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 308번지 등산로입구,2015-11,,3,127.1246814,"경기도 성남시 분당구 이매로133번길 16, (이매동, 진흥아마란스)",37.3766914,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 127-2번지 태원지하보도(삼성아파트 1010동 앞),2015-10,,2,127.1267487,"경기도 성남시 분당구 양현로 192, 1010동 지하층  태원보도  앞(이매동, 이매촌삼성10단지)",37.402897,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 49-2번지,2016-09,,4,127.134711,"경기도 성남시 분당구 방아로46번길 21-10, (이매동)",37.396631,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 268-12,2017-09,,3,127.131711,"경기도 성남시 분당구 이매로89번길 16, (이매동)",37.394001,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 이매1동 27번지,2017-12,,3,127.134261,"경기도 성남시 분당구 방아로 50, (이매동)",37.399151,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 이매2동 148번지 이매길어린이공원(분당24호),2010-04,,2,127.1222566,,37.3931342,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 이매2동 134번지 아름어린이공원(분당21호) 매송초등학교 주변,2010-04,,3,127.1230174,,37.4025069,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 이매2동 152-7번지 운중천 둔치주변 이매파출소 앞,2010-09,,1,127.1237397,,37.4035458,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 이매2동 146번지 이매고등학교 입구,2012-10,,4,127.1221561,,37.3950296,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 이매2동 136번지 매송초등학교 주변,2013-10,,3,127.1228815,경기도 성남시 분당구 탄천로 97,37.4017034,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 399-2번지 보행자도로,2010-04,,3,127.1309837,경기도 성남시 분당구 보행자도로,37.4158894,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 340번지 야탑어린이공원(분당3호),2010-04,,2,127.1304269,,37.4140037,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 388-2번지 부근,2010-04,,3,127.1318057,"경기도 성남시 분당구 매화로37번길 13-11, 부근  (야탑동)",37.4111509,생활방범,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 332번지 꿈동산어린이공원(분당1호),2012-10,,5,127.1260792,,37.4145775,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 385번지 탑어린이공원,2013-10,,4,127.1322281,"경기도 성남시 분당구 야탑로111번길 12-14, 탑어린이공원  (야탑동)",37.4118521,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 365번지 옆 보행자도로,2013-10,,3,127.1302593,경기도 성남시 분당구 옆보행자도로,37.4116682,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 355-1번지 옆 보행자도로,2013-10,,3,127.1268318,"경기도 성남시 분당구 야탑로75번길 15, (야탑동)",37.4111742,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 342-3번지,2014-12,,1,127.1255016,"경기도 성남시 분당구 장미로48번길 14, (야탑동)",37.4126511,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 364-2번지,2014-12,,1,127.1292425,"경기도 성남시 분당구 성남대로 920, (야탑동)",37.4118544,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 359-5번지,2014-12,,1,127.1281472,"경기도 성남시 분당구 성남대로 919, (야탑동)",37.4117638,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 389번지 성마르코유치원,2015-10,,1,127.1259045,"경기도 성남시 분당구 매화로37번길 5, 성마르코유치원  (야탑동)",37.4162652,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 383-6번지 맞은편,2015-11,,3,127.1246814,"경기도 성남시 분당구 장미로108번길 13-1, 맞은편  (야탑동)",37.3766914,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑1동 341번지(탄천방향 장미로 버스 출입구),2017-12,,3,127.126981,"경기도 성남시 분당구 성남대로925번길 16, 버스출입구  (야탑동)",37.412391,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 야탑2동 521번지 탑골어린이공원(분당16호),2010-04,,2,127.1363293,,37.4083528,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 야탑2동 534번지 종달새어린이공원(분당11호),2010-04,,2,127.1232851,,37.4065842,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 야탑2동 524번지 무장들어린이공원(분당15호),2010-04,,2,127.1310191,,37.4077388,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 야탑2동 509번지 오야소어린이공원(분당12호),2010-04,,3,127.1268844,,37.4079394,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 야탑2동 515번지 돌마초등학교 주변,2013-10,,3,127.130117,경기도 성남시 분당구 야탑로 96-7,37.4090206,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 야탑2동 536번지(늘사랑어린이집),2014-11,,1,127.1212913,경기도 성남시 분당구 야탑로 20,37.4076944,어린이보호,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 야탑2동 538번지 108동 111동 사이,2015-11,,3,127.1246814,,37.3766914,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 성남시 분당구 야탑2동 540-4번지 하탑지하보도(탑마을 511동 앞),2015-10,,2,127.118925,,37.382821,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑9교,2017-12,,4,127.128731,,37.407751,생활방범,,2018-04-01,200,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑3동 172번지 성은특수학교,2010-04,,4,127.1444121,"경기도 성남시 분당구 돌마로 866, 성은특수학교  (야탑동)",37.4090454,어린이보호,,2018-04-01,41,031-729-2482
경기도 성남시청,경기도 성남시 분당구 야탑3동 277-9번지 부근,2010-04,,3,127.1373885,"경기도 성남시 분당구 장미로148번길 5, 부근  (야탑동)",37.4125699,생활방범,,2018-04-01,41,031-729-2482
